region,codigo_region,provincia,codigo_provincia,comuna,codigo_comuna,hombres,mujeres,total
ARICA Y PARINACOTA,15,ARICA,151,ARICA,15101,109389,111975,221364
ARICA Y PARINACOTA,15,ARICA,151,CAMARONES,15102,726,529,1255
ARICA Y PARINACOTA,15,PARINACOTA,152,PUTRE,15201,2054,711,2765
ARICA Y PARINACOTA,15,PARINACOTA,152,GENERAL LAGOS,15202,412,272,684
TARAPACÁ,1,IQUIQUE,11,IQUIQUE,1101,94897,96571,191468
TARAPACÁ,1,IQUIQUE,11,ALTO HOSPICIO,1107,54206,54169,108375
TARAPACÁ,1,DEL TAMARUGAL,14,POZO ALMONTE,1401,8987,6724,15711
TARAPACÁ,1,DEL TAMARUGAL,14,CAMIÑA,1402,657,593,1250
TARAPACÁ,1,DEL TAMARUGAL,14,COLCHANE,1403,995,733,1728
TARAPACÁ,1,DEL TAMARUGAL,14,HUARA,1404,1501,1229,2730
TARAPACÁ,1,DEL TAMARUGAL,14,PICA,1405,6550,2746,9296
ANTOFAGASTA,2,ANTOFAGASTA,21,ANTOFAGASTA,2101,181846,180027,361873
ANTOFAGASTA,2,ANTOFAGASTA,21,MEJILLONES,2102,8035,5432,13467
ANTOFAGASTA,2,ANTOFAGASTA,21,SIERRA GORDA,2103,8662,1524,10186
ANTOFAGASTA,2,ANTOFAGASTA,21,TALTAL,2104,7481,5836,13317
ANTOFAGASTA,2,EL LOA,22,CALAMA,2201,86049,79682,165731
ANTOFAGASTA,2,EL LOA,22,OLLAGÜE,2202,207,114,321
ANTOFAGASTA,2,EL LOA,22,SAN PEDRO DE ATACAMA,2203,6161,4835,10996
ANTOFAGASTA,2,TOCOPILLA,23,TOCOPILLA,2301,12481,12705,25186
ANTOFAGASTA,2,TOCOPILLA,23,MARÍA ELENA,2302,4092,2365,6457
ATACAMA,3,COPIAPÓ,31,COPIAPÓ,3101,76627,77310,153937
ATACAMA,3,COPIAPÓ,31,CALDERA,3102,9094,8568,17662
ATACAMA,3,COPIAPÓ,31,TIERRA AMARILLA,3103,7796,6223,14019
ATACAMA,3,CHAÑARAL,32,CHAÑARAL,3201,6270,5949,12219
ATACAMA,3,CHAÑARAL,32,DIEGO DE ALMAGRO,3202,7486,6439,13925
ATACAMA,3,HUASCO,33,VALLENAR,3301,25422,26495,51917
